Epoch,test accuracy,training accuracy
197,49.65,"(80.562, 40281, 50000)"
198,49.68,"(80.884, 40442, 50000)"
199,49.19,"(80.86, 40430, 50000)"
200,49.71,"(80.984, 40492, 50000)"
201,49.24,"(80.704, 40352, 50000)"
202,49.47,"(80.85, 40425, 50000)"
203,49.24,"(80.814, 40407, 50000)"
204,49.37,"(80.628, 40314, 50000)"
205,49.26,"(80.844, 40422, 50000)"
206,49.25,"(80.484, 40242, 50000)"
207,49.22,"(80.61, 40305, 50000)"
208,49.53,"(80.176, 40088, 50000)"
209,48.84,"(80.026, 40013, 50000)"
210,48.88,"(79.742, 39871, 50000)"
211,48.62,"(79.184, 39592, 50000)"
212,48.73,"(78.806, 39403, 50000)"
213,48.68,"(78.772, 39386, 50000)"
214,48.84,"(78.208, 39104, 50000)"
215,48.45,"(77.544, 38772, 50000)"
216,48.19,"(76.954, 38477, 50000)"
217,47.71,"(76.41, 38205, 50000)"
218,48.51,"(75.764, 37882, 50000)"
219,47.3,"(75.232, 37616, 50000)"
220,46.72,"(74.416, 37208, 50000)"
221,47.14,"(73.492, 36746, 50000)"
222,48.26,"(72.584, 36292, 50000)"
223,46.13,"(72.504, 36252, 50000)"
224,47.26,"(71.83, 35915, 50000)"
225,48.38,"(71.128, 35564, 50000)"
226,47.53,"(70.63, 35315, 50000)"
227,45.89,"(70.382, 35191, 50000)"
228,47.44,"(69.794, 34897, 50000)"
229,47.47,"(69.352, 34676, 50000)"
230,46.01,"(68.604, 34302, 50000)"
231,46.39,"(68.698, 34349, 50000)"
232,46.14,"(68.07, 34035, 50000)"
233,47.65,"(67.658, 33829, 50000)"
234,46.27,"(67.212, 33606, 50000)"
235,45.89,"(67.054, 33527, 50000)"
236,46.74,"(66.572, 33286, 50000)"
237,43.0,"(66.082, 33041, 50000)"
238,47.29,"(65.646, 32823, 50000)"
239,45.21,"(65.59, 32795, 50000)"
240,46.72,"(65.472, 32736, 50000)"
241,46.82,"(65.08, 32540, 50000)"
242,44.15,"(64.896, 32448, 50000)"
243,45.1,"(64.884, 32442, 50000)"
244,43.46,"(64.552, 32276, 50000)"
245,45.01,"(63.914, 31957, 50000)"
246,47.42,"(63.958, 31979, 50000)"
247,44.72,"(63.764, 31882, 50000)"
248,46.93,"(63.016, 31508, 50000)"
249,43.93,"(63.13, 31565, 50000)"
250,48.0,"(63.376, 31688, 50000)"
251,46.08,"(62.888, 31444, 50000)"
252,45.38,"(62.432, 31216, 50000)"
253,45.22,"(62.308, 31154, 50000)"
254,43.84,"(61.99, 30995, 50000)"
255,44.92,"(62.016, 31008, 50000)"
256,42.55,"(61.712, 30856, 50000)"
257,42.2,"(61.778, 30889, 50000)"
258,41.86,"(61.748, 30874, 50000)"
259,43.83,"(61.046, 30523, 50000)"
260,45.83,"(61.312, 30656, 50000)"
261,45.69,"(61.216, 30608, 50000)"
262,44.35,"(60.896, 30448, 50000)"
263,41.96,"(60.314, 30157, 50000)"
264,43.84,"(60.81, 30405, 50000)"
265,46.01,"(60.122, 30061, 50000)"
266,44.24,"(59.944, 29972, 50000)"
267,43.7,"(60.108, 30054, 50000)"
268,42.32,"(59.39, 29695, 50000)"
269,38.26,"(59.038, 29519, 50000)"
270,43.38,"(58.888, 29444, 50000)"
271,42.86,"(58.834, 29417, 50000)"
272,44.67,"(58.966, 29483, 50000)"
273,45.71,"(57.848, 28924, 50000)"
274,44.6,"(58.154, 29077, 50000)"
275,43.56,"(57.788, 28894, 50000)"
276,38.74,"(57.708, 28854, 50000)"
277,47.2,"(57.304, 28652, 50000)"
278,44.93,"(57.204, 28602, 50000)"
279,42.76,"(57.022, 28511, 50000)"
280,43.08,"(56.894, 28447, 50000)"
281,40.4,"(56.682, 28341, 50000)"
282,43.9,"(56.42, 28210, 50000)"
283,40.47,"(56.606, 28303, 50000)"
284,43.76,"(56.062, 28031, 50000)"
285,42.75,"(55.948, 27974, 50000)"
286,45.63,"(55.826, 27913, 50000)"
287,45.82,"(55.396, 27698, 50000)"
288,41.69,"(55.258, 27629, 50000)"
289,44.04,"(55.18, 27590, 50000)"
290,44.05,"(54.89, 27445, 50000)"
291,43.39,"(54.508, 27254, 50000)"
292,41.51,"(54.172, 27086, 50000)"
293,41.2,"(54.076, 27038, 50000)"
294,41.45,"(53.798, 26899, 50000)"
295,41.92,"(53.714, 26857, 50000)"
296,43.61,"(53.548, 26774, 50000)"
297,45.85,"(53.398, 26699, 50000)"
298,40.77,"(53.516, 26758, 50000)"
299,38.69,"(53.006, 26503, 50000)"
300,40.97,"(52.558, 26279, 50000)"
301,40.92,"(52.628, 26314, 50000)"
302,38.51,"(52.568, 26284, 50000)"
303,37.82,"(52.466, 26233, 50000)"
304,37.63,"(52.388, 26194, 50000)"
305,39.63,"(51.922, 25961, 50000)"
306,40.29,"(51.918, 25959, 50000)"
307,42.07,"(51.482, 25741, 50000)"
308,40.56,"(51.788, 25894, 50000)"
309,39.25,"(51.2, 25600, 50000)"
310,40.24,"(50.992, 25496, 50000)"
311,41.55,"(51.026, 25513, 50000)"
312,40.15,"(50.91, 25455, 50000)"
313,42.28,"(50.952, 25476, 50000)"
314,43.81,"(50.712, 25356, 50000)"
315,36.32,"(50.718, 25359, 50000)"
316,34.78,"(50.286, 25143, 50000)"
317,41.33,"(50.326, 25163, 50000)"
318,40.85,"(49.88, 24940, 50000)"
319,39.13,"(49.61, 24805, 50000)"
320,37.13,"(49.702, 24851, 50000)"
321,40.01,"(49.874, 24937, 50000)"
322,38.84,"(49.642, 24821, 50000)"
323,42.16,"(49.87, 24935, 50000)"
324,36.94,"(49.66, 24830, 50000)"
325,38.37,"(49.654, 24827, 50000)"
326,41.13,"(49.164, 24582, 50000)"
327,33.29,"(49.064, 24532, 50000)"
328,36.65,"(49.216, 24608, 50000)"
329,34.97,"(49.08, 24540, 50000)"
330,37.93,"(48.926, 24463, 50000)"
331,34.05,"(48.914, 24457, 50000)"
332,43.5,"(48.588, 24294, 50000)"
333,39.85,"(48.646, 24323, 50000)"
334,41.95,"(48.134, 24067, 50000)"
335,41.24,"(48.354, 24177, 50000)"
336,39.51,"(48.162, 24081, 50000)"
337,40.23,"(48.258, 24129, 50000)"
338,40.95,"(48.288, 24144, 50000)"
339,40.29,"(48.296, 24148, 50000)"
340,39.9,"(48.308, 24154, 50000)"
341,39.66,"(48.094, 24047, 50000)"
342,36.08,"(47.724, 23862, 50000)"
343,41.86,"(47.812, 23906, 50000)"
344,40.15,"(48.074, 24037, 50000)"
345,38.65,"(47.576, 23788, 50000)"
346,38.7,"(47.516, 23758, 50000)"
347,40.57,"(47.564, 23782, 50000)"
348,34.04,"(47.398, 23699, 50000)"
349,35.07,"(47.548, 23774, 50000)"
350,39.37,"(47.604, 23802, 50000)"
351,38.53,"(47.392, 23696, 50000)"
352,38.22,"(47.368, 23684, 50000)"
353,36.45,"(47.204, 23602, 50000)"
354,34.05,"(47.13, 23565, 50000)"
355,38.71,"(46.926, 23463, 50000)"
356,43.05,"(47.0, 23500, 50000)"
357,38.92,"(46.756, 23378, 50000)"
358,37.19,"(47.202, 23601, 50000)"
359,33.62,"(46.806, 23403, 50000)"
360,40.77,"(46.648, 23324, 50000)"
361,36.95,"(46.674, 23337, 50000)"
362,38.32,"(47.066, 23533, 50000)"
363,33.56,"(46.608, 23304, 50000)"
364,37.23,"(46.784, 23392, 50000)"
365,37.7,"(46.592, 23296, 50000)"
366,36.42,"(46.666, 23333, 50000)"
367,43.47,"(46.43, 23215, 50000)"
368,38.0,"(46.42, 23210, 50000)"
369,36.86,"(46.536, 23268, 50000)"
370,30.45,"(46.35, 23175, 50000)"
371,28.74,"(46.252, 23126, 50000)"
372,33.21,"(46.086, 23043, 50000)"
373,37.35,"(46.24, 23120, 50000)"
374,37.57,"(46.042, 23021, 50000)"
375,36.74,"(45.974, 22987, 50000)"
376,33.67,"(46.23, 23115, 50000)"
377,37.38,"(45.892, 22946, 50000)"
378,41.13,"(46.41, 23205, 50000)"
379,40.83,"(46.038, 23019, 50000)"
380,36.74,"(46.184, 23092, 50000)"
381,39.42,"(45.95, 22975, 50000)"
382,37.87,"(45.862, 22931, 50000)"
383,33.28,"(46.098, 23049, 50000)"
384,41.44,"(45.984, 22992, 50000)"
385,33.82,"(46.22, 23110, 50000)"
386,37.49,"(45.738, 22869, 50000)"
387,35.26,"(45.716, 22858, 50000)"
388,38.52,"(45.518, 22759, 50000)"
389,38.89,"(45.784, 22892, 50000)"
390,30.96,"(46.018, 23009, 50000)"
391,26.95,"(45.702, 22851, 50000)"
392,39.01,"(45.838, 22919, 50000)"
393,38.17,"(45.802, 22901, 50000)"
394,35.34,"(45.898, 22949, 50000)"
395,35.12,"(45.75, 22875, 50000)"
396,35.9,"(45.812, 22906, 50000)"
397,37.54,"(46.204, 23102, 50000)"
398,35.93,"(45.876, 22938, 50000)"
399,37.69,"(45.598, 22799, 50000)"
