Epoch,test accuracy,training accuracy
202,62.11,"(85.24947368421053, 80987, 95000)"
203,62.16,"(85.12, 80864, 95000)"
204,61.8,"(85.31894736842105, 81053, 95000)"
205,62.03,"(85.17894736842105, 80920, 95000)"
206,62.03,"(84.89157894736842, 80647, 95000)"
207,62.44,"(84.92105263157895, 80675, 95000)"
208,61.58,"(84.93684210526315, 80690, 95000)"
209,61.7,"(84.69578947368421, 80461, 95000)"
210,61.17,"(84.80736842105263, 80567, 95000)"
211,61.37,"(84.30526315789474, 80090, 95000)"
212,60.8,"(84.44105263157894, 80219, 95000)"
213,61.39,"(83.74736842105263, 79560, 95000)"
214,60.57,"(83.57473684210527, 79396, 95000)"
215,61.09,"(83.09894736842105, 78944, 95000)"
216,60.57,"(82.56631578947369, 78438, 95000)"
217,60.19,"(82.02, 77919, 95000)"
218,60.12,"(81.48947368421052, 77415, 95000)"
219,59.11,"(80.07684210526315, 76073, 95000)"
220,59.52,"(79.56631578947369, 75588, 95000)"
221,58.56,"(78.60526315789474, 74675, 95000)"
222,57.62,"(77.3957894736842, 73526, 95000)"
223,57.87,"(76.44315789473684, 72621, 95000)"
224,57.83,"(75.13368421052631, 71377, 95000)"
225,57.15,"(74.16421052631578, 70456, 95000)"
226,55.91,"(72.75473684210526, 69117, 95000)"
227,55.61,"(71.96315789473684, 68365, 95000)"
228,53.44,"(71.14842105263158, 67591, 95000)"
229,54.64,"(70.29368421052632, 66779, 95000)"
230,55.3,"(69.19368421052631, 65734, 95000)"
231,52.75,"(67.93684210526315, 64540, 95000)"
232,53.98,"(67.4642105263158, 64091, 95000)"
233,53.03,"(66.95473684210526, 63607, 95000)"
234,53.49,"(66.20631578947368, 62896, 95000)"
235,52.7,"(65.91894736842106, 62623, 95000)"
236,51.7,"(65.30421052631579, 62039, 95000)"
237,52.94,"(64.91473684210526, 61669, 95000)"
238,54.41,"(64.24631578947368, 61034, 95000)"
239,49.79,"(63.6978947368421, 60513, 95000)"
240,53.47,"(63.95263157894737, 60755, 95000)"
241,54.88,"(63.21368421052632, 60053, 95000)"
242,54.08,"(62.95578947368421, 59808, 95000)"
243,53.15,"(62.387368421052635, 59268, 95000)"
244,50.6,"(61.84842105263158, 58756, 95000)"
245,53.6,"(61.43684210526316, 58365, 95000)"
246,51.74,"(61.062105263157896, 58009, 95000)"
247,52.81,"(60.89473684210526, 57850, 95000)"
248,51.88,"(60.55578947368421, 57528, 95000)"
249,48.85,"(60.43052631578947, 57409, 95000)"
250,52.04,"(59.51684210526316, 56541, 95000)"
251,48.71,"(59.31473684210526, 56349, 95000)"
252,51.64,"(59.04105263157895, 56089, 95000)"
253,52.17,"(58.5178947368421, 55592, 95000)"
254,53.86,"(58.27263157894737, 55359, 95000)"
255,47.52,"(57.87263157894737, 54979, 95000)"
256,48.59,"(57.42842105263158, 54557, 95000)"
257,51.07,"(57.07052631578947, 54217, 95000)"
258,50.82,"(56.76842105263158, 53930, 95000)"
259,49.96,"(56.54421052631579, 53717, 95000)"
260,51.15,"(56.09789473684211, 53293, 95000)"
261,51.37,"(55.85473684210526, 53062, 95000)"
262,48.27,"(55.410526315789475, 52640, 95000)"
263,51.47,"(55.17368421052632, 52415, 95000)"
264,48.71,"(54.577894736842104, 51849, 95000)"
265,45.37,"(54.241052631578945, 51529, 95000)"
266,46.99,"(53.909473684210525, 51214, 95000)"
267,47.39,"(53.60315789473684, 50923, 95000)"
268,46.77,"(53.24421052631579, 50582, 95000)"
269,46.5,"(52.80105263157895, 50161, 95000)"
270,50.67,"(52.53473684210526, 49908, 95000)"
271,49.5,"(52.17473684210526, 49566, 95000)"
272,50.03,"(51.950526315789475, 49353, 95000)"
273,43.33,"(51.422105263157896, 48851, 95000)"
274,46.96,"(51.114736842105266, 48559, 95000)"
275,49.46,"(50.92842105263158, 48382, 95000)"
