Epoch,test accuracy,training accuracy
323,46.92,"(68.478, 34239, 50000)"
324,45.84,"(69.052, 34526, 50000)"
325,44.41,"(69.284, 34642, 50000)"
326,47.57,"(69.51, 34755, 50000)"
327,46.2,"(69.766, 34883, 50000)"
328,46.13,"(70.134, 35067, 50000)"
329,47.62,"(70.566, 35283, 50000)"
330,48.06,"(70.746, 35373, 50000)"
331,47.38,"(71.544, 35772, 50000)"
332,47.98,"(71.506, 35753, 50000)"
333,48.19,"(72.11, 36055, 50000)"
334,47.14,"(72.762, 36381, 50000)"
335,46.84,"(72.922, 36461, 50000)"
336,46.7,"(73.498, 36749, 50000)"
337,48.2,"(73.642, 36821, 50000)"
338,47.76,"(73.94, 36970, 50000)"
339,47.5,"(74.74, 37370, 50000)"
340,47.68,"(75.004, 37502, 50000)"
341,47.68,"(75.452, 37726, 50000)"
342,48.55,"(76.046, 38023, 50000)"
343,47.73,"(76.41, 38205, 50000)"
344,47.88,"(76.81, 38405, 50000)"
345,47.91,"(77.37, 38685, 50000)"
346,47.86,"(77.74, 38870, 50000)"
347,47.25,"(78.0, 39000, 50000)"
348,47.53,"(78.202, 39101, 50000)"
349,47.52,"(78.714, 39357, 50000)"
350,48.38,"(79.228, 39614, 50000)"
351,47.53,"(80.006, 40003, 50000)"
352,49.07,"(80.51, 40255, 50000)"
353,47.96,"(80.632, 40316, 50000)"
354,48.09,"(81.366, 40683, 50000)"
355,48.29,"(81.814, 40907, 50000)"
356,47.32,"(82.04, 41020, 50000)"
357,48.05,"(82.28, 41140, 50000)"
358,48.13,"(83.002, 41501, 50000)"
359,47.52,"(83.158, 41579, 50000)"
360,48.44,"(83.504, 41752, 50000)"
361,48.35,"(84.214, 42107, 50000)"
362,48.7,"(84.76, 42380, 50000)"
363,48.6,"(85.11, 42555, 50000)"
364,48.51,"(85.512, 42756, 50000)"
365,48.13,"(86.106, 43053, 50000)"
366,48.25,"(86.422, 43211, 50000)"
367,48.17,"(86.636, 43318, 50000)"
368,48.66,"(87.048, 43524, 50000)"
369,48.46,"(87.462, 43731, 50000)"
370,47.58,"(87.682, 43841, 50000)"
371,48.92,"(88.16, 44080, 50000)"
372,48.69,"(88.63, 44315, 50000)"
373,48.28,"(88.888, 44444, 50000)"
374,47.89,"(89.36, 44680, 50000)"
375,48.52,"(89.442, 44721, 50000)"
376,48.83,"(89.806, 44903, 50000)"
377,48.35,"(89.794, 44897, 50000)"
378,48.44,"(90.602, 45301, 50000)"
379,48.64,"(90.484, 45242, 50000)"
380,48.35,"(90.762, 45381, 50000)"
381,48.65,"(90.936, 45468, 50000)"
382,48.92,"(91.144, 45572, 50000)"
383,48.81,"(91.256, 45628, 50000)"
384,48.72,"(91.598, 45799, 50000)"
385,48.25,"(91.764, 45882, 50000)"
386,48.8,"(91.83, 45915, 50000)"
387,48.91,"(91.98, 45990, 50000)"
388,48.52,"(92.142, 46071, 50000)"
389,48.51,"(92.354, 46177, 50000)"
390,48.8,"(92.334, 46167, 50000)"
391,48.71,"(92.562, 46281, 50000)"
392,48.41,"(92.318, 46159, 50000)"
393,48.75,"(92.482, 46241, 50000)"
394,48.65,"(92.394, 46197, 50000)"
395,48.46,"(92.612, 46306, 50000)"
396,48.78,"(92.652, 46326, 50000)"
397,48.86,"(92.578, 46289, 50000)"
398,48.61,"(92.576, 46288, 50000)"
399,48.69,"(92.688, 46344, 50000)"
