Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Final test accuracy
15,2.3827072102425877,1.1234417115902966,2.4964201482479784,1.864681603773585,3.3724309299191373,1.5856637466307277,52.35427897574124,1.61,0.5,1.12,0.68,1.08,0.55,31.51,Acc@1 final output   56.25 ( 54.62)
16,2.52590128032345,1.0960663746630728,2.2310899595687332,1.5940869272237197,3.14605795148248,1.5972456199460916,51.826777291105124,1.59,0.5,0.63,0.5,1.04,1.61,33.39,Acc@1 final output   56.25 ( 54.62)
17,2.539588948787062,1.1497641509433962,2.34375,1.6972708894878705,3.216602088948787,1.3403386118598384,52.38376010781671,1.12,0.5,0.57,0.5,0.89,0.56,30.59,Acc@1 final output   56.25 ( 54.62)
18,2.466939016172507,1.1487112533692723,2.2868935309973044,1.580399258760108,3.0112870619946093,1.5382833557951483,52.17212769541779,1.51,0.54,0.58,0.57,1.35,0.5,30.63,Acc@1 final output   56.25 ( 54.62)
19,2.612238881401617,1.2171495956873315,2.0657850404312668,1.6404144204851752,2.9396900269541777,1.6035630053908356,52.32479784366577,0.89,0.5,0.5,0.5,0.5,0.44,29.57,Acc@1 final output   56.25 ( 54.62)
20,2.528007075471698,1.1845097708894878,2.2626768867924527,1.5203840970350404,3.0955188679245285,1.5109080188679245,52.33111522911051,1.46,0.98,0.91,1.14,0.85,1.7,28.15,Acc@1 final output   56.25 ( 54.62)
21,2.538536051212938,1.173980795148248,2.1742334905660377,1.5498652291105122,2.94284871967655,1.3792958221024259,52.429034703504044,1.71,1.11,0.59,0.5,0.51,1.25,30.17,Acc@1 final output   56.25 ( 54.62)
22,2.449039757412399,1.072902628032345,2.040515498652291,1.4919558625336926,2.951271900269542,1.3950892857142858,52.080525606469,1.48,0.52,0.62,0.5,0.67,0.56,32.7,Acc@1 final output   56.25 ( 54.62)
23,2.3532260781671157,1.1065953504043127,2.141593665768194,1.6119861859838276,2.7564858490566038,1.5835579514824798,52.479573787061994,1.53,0.79,0.57,0.51,1.01,0.5,30.88,Acc@1 final output   56.25 ( 54.62)
24,2.3174275606469004,1.1360764824797844,2.047885781671159,1.5256485849056605,3.1144710242587603,1.5782934636118597,52.27425876010782,1.48,0.5,0.64,0.5,1.69,1.0,30.41,Acc@1 final output   56.25 ( 54.62)
25,2.325850741239892,1.1202830188679245,2.164757412398922,1.5782934636118597,3.136581873315364,1.6393615229110512,52.26162398921833,1.28,0.74,0.5,0.5,0.64,0.59,31.02,Acc@1 final output   56.25 ( 54.62)
26,2.539588948787062,1.1992503369272238,2.1163241239892185,1.6467318059299192,3.0112870619946093,1.4529986522911051,52.25530660377358,1.67,0.92,0.83,0.56,1.25,1.17,31.78,Acc@1 final output   56.25 ( 54.62)
27,2.4585158355795147,1.2361017520215634,2.271100067385445,1.5245956873315365,2.9681182614555257,1.4014066711590296,52.18265667115903,1.11,0.5,0.9,0.5,1.45,1.06,31.05,Acc@1 final output   56.25 ( 54.62)
28,2.346908692722372,1.1487112533692723,2.039462601078167,1.4919558625336926,2.951271900269542,1.7541273584905661,52.240566037735846,2.03,0.5,1.06,0.79,1.05,1.22,29.03,Acc@1 final output   56.25 ( 54.62)
29,2.6796243261455523,1.1971445417789757,2.2268783692722374,1.6646310646900269,3.0565616576819408,1.560394204851752,52.046832884097036,1.76,0.72,1.3,1.38,1.34,0.87,32.78,Acc@1 final output   56.25 ( 54.62)
30,2.3163746630727764,1.2087264150943395,2.1194828167115904,1.670948450134771,2.941795822102426,1.4424696765498652,52.19634433962264,1.55,0.5,0.52,0.53,0.59,0.79,29.66,Acc@1 final output   56.25 ( 54.62)
31,2.57328167115903,1.1266004043126685,2.0857900943396226,1.561447102425876,3.0607732479784366,1.4761623989218329,52.28899932614555,1.1,0.51,1.01,0.84,1.42,1.26,32.37,Acc@1 final output   56.25 ( 54.62)
32,2.52590128032345,1.2255727762803235,2.2068733153638815,1.660419474393531,2.736480795148248,1.4224646226415094,52.31216307277628,1.48,0.5,0.53,0.5,1.14,0.87,31.52,Acc@1 final output   56.25 ( 54.62)
33,2.4258760107816713,1.091854784366577,2.0815785040431267,1.4129885444743935,2.909155997304582,1.455104447439353,52.04788578167116,1.72,0.59,1.29,0.71,1.43,0.99,30.14,Acc@1 final output   56.25 ( 54.62)
34,2.429034703504043,1.1255475067385445,2.1173770215633425,1.6035630053908356,2.9902291105121295,1.5130138140161724,52.67646563342318,1.47,0.5,0.52,0.5,0.62,0.5,32.63,Acc@1 final output   56.25 ( 54.62)
35,2.4848382749326148,1.1981974393530996,1.9994524932614555,1.5403891509433962,2.8891509433962264,1.3635023584905661,52.22477257412399,1.25,0.5,1.08,0.77,1.65,1.37,30.2,Acc@1 final output   56.25 ( 54.62)
36,2.469044811320755,1.2182024932614555,2.2100320080862534,1.6235680592991915,2.9712769541778976,1.5077493261455526,52.19107985175202,1.2,0.52,1.13,0.5,1.16,0.88,29.67,Acc@1 final output   56.25 ( 54.62)
37,2.2868935309973044,1.1444996630727762,1.9110090970350404,1.5856637466307277,2.613291778975741,1.5203840970350404,52.20582041778976,1.28,0.5,0.54,0.5,0.53,0.59,29.29,Acc@1 final output   56.25 ( 54.62)
38,2.517478099730458,1.0939605795148248,2.141593665768194,1.5256485849056605,2.8859922506738545,1.6225151617250675,52.37533692722372,1.22,0.76,0.53,0.5,0.9,0.94,30.02,Acc@1 final output   56.25 ( 54.62)
39,2.4764150943396226,1.164504716981132,2.2984754043126685,1.6456789083557952,3.1155239218328843,1.461421832884097,52.166863207547166,1.91,0.83,0.58,0.72,0.98,0.5,31.1,Acc@1 final output   56.25 ( 54.62)
40,2.3921832884097034,1.2160966981132075,2.054203167115903,1.458263140161725,2.7901785714285716,1.3487617924528301,51.94259602425876,1.35,0.7,0.71,0.79,0.73,1.06,31.94,Acc@1 final output   56.25 ( 54.62)
41,2.356384770889488,1.1171243261455526,2.1047422506738545,1.5098551212938005,2.936531334231806,1.4930087601078168,52.015245956873315,1.67,1.28,1.11,0.81,1.11,1.37,32.71,Acc@1 final output   56.25 ( 54.62)
42,2.4258760107816713,1.3034871967654986,2.250042115902965,1.5888224393530996,3.221866576819407,1.4782681940700808,52.239513140161726,1.65,0.57,1.25,0.68,1.16,0.65,32.44,Acc@1 final output   56.25 ( 54.62)
43,2.324797843665768,1.1318648921832883,1.9983995956873315,1.481426886792453,2.8723045822102424,1.7025353773584906,52.250042115902964,1.45,0.99,1.03,0.83,1.15,1.49,31.25,Acc@1 final output   56.25 ( 54.62)
44,2.34901448787062,1.1508170485175202,2.1163241239892185,1.5319659703504043,2.8175539083557952,1.5835579514824798,52.39323618598383,1.3,0.59,0.76,0.51,1.45,1.9,33.34,Acc@1 final output   56.25 ( 54.62)
45,2.4974730458221024,1.2076735175202156,2.247936320754717,1.6046159029649596,3.1344760781671157,1.6109332884097034,52.31111017520216,1.05,0.5,0.78,0.51,1.09,1.68,28.76,Acc@1 final output   56.25 ( 54.62)
46,2.362702156334232,1.0265751347708896,2.268994272237197,1.5625,3.2397658355795147,1.4972203504043127,52.12369440700809,1.34,0.5,1.08,0.9,1.24,1.21,28.75,Acc@1 final output   56.25 ( 54.62)
47,2.362702156334232,1.068691037735849,1.9657597708894878,1.3940363881401616,2.6975235849056602,1.4340464959568733,52.05315026954178,1.59,0.7,0.6,0.53,1.58,1.66,30.8,Acc@1 final output   56.25 ( 54.62)
48,2.417452830188679,1.1171243261455526,1.9899764150943395,1.5056435309973046,2.9681182614555257,1.4919558625336926,52.195291442048514,1.44,0.55,0.61,0.5,1.14,1.8,30.8,Acc@1 final output   56.25 ( 54.62)
49,2.641720013477089,1.2339959568733154,2.14580525606469,1.669895552560647,2.8933625336927222,1.5014319407008085,52.27952324797844,1.33,0.5,0.5,0.5,0.57,0.75,31.48,Acc@1 final output   56.25 ( 54.62)
