Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Final test accuracy
23,2.4589473684210525,2.6378947368421053,1.5063157894736843,2.3463157894335294,4.9189473683808975,7.184210526315789,12.34421052631579,17.025263157894738,28.305263157734117,24.221052631578946,0.9978947368421053,0.8926315789473684,1.5263157894736843,8.891578947368421,41.32105263125771,62.10631578883121,1.92,3.13,1.49,2.93,5.39,7.41,12.64,18.73,27.45,24.87,0.93,0.93,1.65,8.64,40.04,52.04,53.21
24,2.346315789393375,2.494736842024954,1.4999999999196907,2.3589473683407434,4.8031578947368425,6.894736842024954,11.79684210510254,16.47368421020508,27.76210526251542,23.77999999983938,0.7989473684210526,0.7378947368421053,1.5189473684210526,8.730526315789474,41.32105263093647,62.08631578883121,1.74,2.33,1.83,3.3,4.41,8.45,13.27,22.12,29.96,27.42,0.56,0.5,1.25,10.91,41.45,52.27,53.21
25,2.4242105263157896,2.5694736842105264,1.6705263157894736,2.7305263157894735,5.036842105263158,7.265263157894736,12.094736842024954,16.33684210510254,27.574736841944645,23.296842105102538,0.8726315789473684,0.8168421052631579,1.6273684210526316,8.674736842024954,41.116842104941924,62.21684210462068,1.83,2.48,1.06,1.79,5.03,7.0,13.01,19.29,29.75,23.67,1.31,1.3,1.86,8.07,37.65,52.6,53.21
26,2.431578947368421,2.728421052631579,1.5157894736842106,2.5305263157894737,4.988421052631579,7.205263157894737,12.010526315789473,16.373684210205077,27.305263157894736,23.582105262997278,0.8642105263157894,0.7747368421052632,1.5610526315387927,8.693684210486161,40.830526315468234,61.88105263093647,1.79,3.28,1.56,1.21,5.18,7.57,13.23,18.39,27.6,24.61,0.54,0.54,1.86,11.38,40.79,52.4,53.21
27,2.3357894736440556,2.6115789472881117,1.4905263157091642,2.28421052623548,4.64421052623548,7.0736842104460065,11.956842105263158,16.901052631418327,27.603157894576224,24.185263157573498,0.8642105263157894,0.8021052631578948,1.4463157894736842,8.75999999991969,41.35999999967876,62.096842104620684,2.08,3.3,1.73,3.4,5.97,8.64,13.42,18.53,27.03,24.6,1.49,1.09,1.8,11.34,38.58,52.12,53.21
28,2.4799999999196904,2.7,1.4642105262756349,2.6547368420651085,4.912631578867059,7.203157894576223,11.728421052310342,16.490526315628856,27.202105262836657,23.466315789152446,0.9273684210526316,0.8336842105263158,1.4663157894736842,8.452631578947368,40.349473683889286,62.01157894640471,1.6,3.45,1.21,1.35,4.21,6.99,13.18,20.2,29.54,25.25,1.1,1.03,1.71,8.55,39.69,52.38,53.21
29,2.462105263157895,2.738947368421053,1.5021052631578948,2.5694736842105264,4.932631578947368,7.40421052623548,12.278947368421052,16.8052631575735,27.43263157862613,23.551578947047183,0.9463157894736842,0.8589473684210527,1.545263157894737,8.913684210446007,40.72105263157895,62.02421052567331,2.02,3.18,2.15,3.55,6.14,8.18,13.13,19.85,28.03,23.93,1.06,1.19,2.53,11.65,40.08,52.46,53.21
30,2.42210526311774,2.6263157894335296,1.5694736841703716,2.470526315749319,4.795789473603901,7.119999999919691,11.97263157862613,16.47157894736842,27.837894736842106,23.88421052631579,0.9042105263157895,0.7926315789473685,1.5821052631578947,8.824210526275635,41.28,62.00526315693102,2.13,2.48,1.44,2.99,6.28,9.26,14.19,18.54,26.95,22.94,1.65,1.44,1.72,6.86,38.96,52.39,53.21
31,2.4642105263157896,2.683157894736842,1.6810526315789474,2.551578947368421,4.866315789473684,7.228421052631579,12.047368420972322,16.34526315789474,27.49263157878675,23.431578947207804,0.9042105263157895,0.8315789473684211,1.5957894736842104,8.919999999959845,41.117894736681485,62.129473683246815,2.31,3.41,2.54,3.52,5.64,7.85,13.61,19.87,28.56,25.04,1.19,1.04,2.39,10.32,38.6,51.87,53.21
32,2.551578947368421,2.665263157894737,1.4684210526315788,2.343157894736842,4.68210526311774,6.834736842105263,11.955789473523591,16.956842105263156,28.190526315628855,24.150526315628856,0.8157894736842105,0.7747368421052632,1.4589473684210525,8.783157894656533,41.930526315147,62.06631578915245,2.25,2.6,0.73,2.3,3.91,6.94,11.13,18.03,28.08,24.08,0.57,0.6,1.4,8.32,38.51,52.41,53.21
33,2.4157894736842107,2.68421052623548,1.5957894736440559,2.536842105263158,4.752631578947368,7.018947368421053,12.04,16.34842105263158,27.133684209562603,23.283157894094366,0.9210526315789473,0.8631578947368421,1.5452631578545821,8.705263157894738,41.13894736777858,62.22736842041016,2.07,3.61,1.93,3.12,4.27,6.31,11.4,18.5,26.61,23.13,1.04,0.79,1.98,7.5,36.42,52.19,53.21
34,2.4747368421052633,2.708421052631579,1.5021052631578948,2.32210526311774,4.731578947328266,6.856842105223003,11.61157894728811,16.13578947368421,26.803157894576223,22.61578947352359,0.850526315749319,0.770526315749319,1.5610526315789475,8.23052631574932,40.814736841944644,62.203157894415604,1.98,3.2,1.46,2.45,4.66,6.63,11.32,18.17,26.54,20.1,0.5,0.5,1.39,6.75,38.7,52.63,53.21
35,2.498947368380898,2.558947368380898,1.5378947368019507,2.609473684130217,4.721052631498638,6.786315789473684,11.359999999678763,15.883157894736842,26.783157894576224,22.839999999678763,0.8336842105263158,0.7905263157894736,1.4410526315387926,7.988421052631579,40.47789473652087,62.0221052631579,2.04,3.45,1.35,1.77,4.5,6.27,12.63,17.64,30.01,24.95,0.72,0.62,1.1,7.22,38.68,52.37,53.21
36,2.4863157894335295,2.693684210486161,1.535789473603901,2.571578947328266,4.9263157893933744,7.41578947368421,12.686315789152447,17.6252631575735,28.215789473362975,23.937894736681486,0.9568421052631579,0.891578947368421,1.590526315749319,9.635789473523591,41.57684210526316,61.985263156931026,2.3,2.86,1.52,2.56,4.15,6.74,11.05,16.62,27.94,25.01,1.05,0.96,1.12,6.38,38.12,52.44,53.21
37,2.4726315789473685,2.54210526311774,1.4557894736440558,2.4842105262756347,4.896842105223003,7.198947368380898,11.908421052551269,16.375789473523593,27.294736841784026,23.43999999967876,0.9705263157894737,0.8621052631578947,1.533684210486161,8.398947368340743,40.77263157878675,61.86210526283666,2.14,3.75,2.82,3.84,6.64,9.6,14.12,20.34,27.39,23.93,0.66,0.64,2.56,10.88,39.7,52.36,53.21
38,2.457894736842105,2.7115789473282663,1.5642105262756347,2.5926315789072136,5.118947368340743,7.228421052551269,12.554736842105264,17.13263157886706,28.050526315628854,24.18105263125771,0.8210526315789474,0.7494736842105263,1.533684210486161,8.904210526275635,41.37684210526316,62.064210525994554,2.0,3.15,1.19,2.14,6.51,8.28,14.04,18.0,30.3,25.8,0.72,0.64,1.25,8.94,39.66,52.42,53.21
39,2.388421052631579,2.5989473684210527,1.4747368420651084,2.3599999999598453,5.074736842105263,7.251578947288111,12.213684210446006,16.821052631578947,27.94105263125771,24.25684210494192,0.86210526311774,0.7821052631578947,1.5452631578144274,9.021052631418328,41.282105263157895,62.16105263157895,2.25,3.35,1.32,2.0,4.47,8.24,15.73,21.46,30.08,27.67,1.23,1.18,2.04,11.85,41.38,52.3,53.21
40,2.6042105262756348,2.5610526315387925,1.3978947368421053,2.5242105262756347,4.922105263077586,7.1673684208920125,12.093684210446007,16.484210525994552,27.227368420410155,23.618947368260432,1.032631578867059,0.8968421052230032,1.5463157893933748,8.548421052631578,41.42105263093647,62.021052630936474,2.12,2.99,1.67,1.92,5.05,8.42,12.5,18.96,27.56,21.68,1.69,1.61,1.94,6.39,40.15,52.13,53.21
41,2.4315789472881115,2.683157894656533,1.3852631578545822,2.2578947368019504,4.581052631498638,6.71578947368421,11.355789473523592,15.834736842105263,26.518947368099816,22.32947368404991,0.9063157894736842,0.8189473684210526,1.4663157894736842,7.64631578943353,41.25684210526316,62.20526315725226,2.02,3.0,1.69,2.22,3.24,4.81,9.0,14.69,25.84,23.59,1.58,1.16,1.39,3.77,39.05,52.3,53.21
42,2.48,2.490526315749319,1.4757894736440558,2.4042105262756346,4.744210526275634,7.046315789433529,11.745263157854582,16.129473683889287,27.034736841784024,23.185263157573498,0.8747368420651085,0.7968421052230031,1.4431578946565327,7.918947368340743,40.65894736777858,61.938947367778574,2.28,3.24,1.59,3.16,5.56,7.47,12.74,19.9,30.57,25.38,0.49,0.48,2.27,9.4,38.99,52.36,53.21
43,2.542105263157895,2.6,1.6610526315789473,2.5294736842105263,4.994736842105263,7.218947368421053,12.218947368421052,16.68105263141833,28.478947368260435,24.42105263157895,0.9326315789072137,0.8263157894335295,1.5231578946966875,9.283157894656533,41.55894736745734,61.92315789473684,2.17,3.25,2.2,2.73,5.85,8.43,12.41,18.44,26.48,23.26,0.9,0.83,1.99,9.26,40.34,52.36,53.21
44,2.4642105263157896,2.7526315789473683,1.6936842105263157,2.5189473684210526,5.132631578907214,7.255789473603901,12.225263157734117,16.8715789472078,27.123157894736842,23.237894736520868,0.8105263157894737,0.7378947368421053,1.583157894736842,9.115789473684211,41.26315789409437,62.17999999935753,1.69,3.54,2.51,2.05,5.41,8.23,14.63,21.12,31.02,27.22,0.64,0.67,1.42,9.01,41.22,52.41,53.21
45,2.433684210486161,2.7694736841703715,1.5410526315789475,2.4831578947368422,4.936842105263158,6.976842105263158,11.788421052591424,16.538947368340743,27.457894736681485,23.835789473644056,0.8789473684210526,0.8115789473684211,1.4757894736842105,8.896842105263158,41.497894736842106,62.01473684114155,1.67,2.79,2.01,2.95,5.27,7.98,13.38,19.73,29.36,24.7,2.28,1.98,1.75,12.66,39.73,52.65,53.21
46,2.3505263157894736,2.6452631578947368,1.6263157894736842,2.6157894736842104,5.123157894696687,7.21789473680195,11.873684210526315,16.261052631418327,27.252631578304893,23.64842105231034,0.9147368421052632,0.8726315789072138,1.48210526311774,8.78842105231034,41.43789473652087,62.01578947368421,2.44,3.33,2.02,3.84,6.29,9.01,13.12,18.29,27.09,24.73,1.36,1.01,1.89,10.01,39.04,52.33,53.21
47,2.531578947368421,2.590526315789474,1.5105263157894737,2.442105263157895,5.134736842105263,7.436842105263158,12.291578947328267,17.04842105247096,27.705263157894738,23.710526315628854,0.9536842105263158,0.8694736842105263,1.5421052631578946,8.91157894736842,41.56947368388929,62.146315789152446,1.87,2.96,1.67,2.6,4.36,7.27,12.51,17.79,28.57,24.79,1.14,1.11,1.06,3.78,38.8,52.49,53.21
48,2.534736842105263,2.6242105263157893,1.4210526315789473,2.4642105263157896,4.4999999999598455,6.851578947368421,11.43999999991969,16.310526315789474,27.657894736681488,23.687368420892014,0.8705263157894737,0.8221052631578948,1.516842105263158,8.446315789473685,40.6178947368421,62.19999999935752,2.35,2.71,1.12,2.87,3.87,5.97,10.88,19.74,28.98,26.09,1.06,0.84,1.02,8.76,39.56,52.28,53.21
49,2.4094736841703717,2.7031578946966874,1.7631578946966875,2.5778947368019507,5.114736842065108,7.331578947328266,12.042105263157895,16.99684210494192,27.651578947207803,24.038947367778576,0.8463157894335295,0.7452631578947368,1.476842105263158,8.833684210526316,41.55999999967876,61.97157894736842,2.15,3.33,2.59,2.67,5.09,8.55,12.27,20.34,28.22,27.7,1.77,1.19,1.87,12.16,39.21,52.15,53.21
