Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
0,4331471520.0,0.5310266613960266,2.6163904749409994e-06,90.14,0.4602509438991546,2.6197697025054367e-06,87.09,6,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1185689195990562,5.342870281310752e-06,96.78,0.1472738236188888,4.725359303847654e-06,91.9,6,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.1098640859127044,7.1534764174430165e-06,97.2,0.146707609295845,5.0641106099647e-06,92.05,6,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.095376580953598,7.688146069995128e-06,97.0,0.1331870555877685,5.602150395134231e-06,92.24,6,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0733846947550773,1.014657482301118e-05,97.42,0.1161045655608177,8.155579962476622e-06,92.42,6,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0697497725486755,1.151873675553361e-05,97.92,0.1214189380407333,1.0067529728985392e-05,92.61,6,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0591869354248046,1.1662787073873916e-05,98.04,0.1233208104968071,1.0262881914968602e-05,92.67,6,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0666553899645805,8.234346751123667e-06,97.68,0.1269383579492569,1.0764254511741456e-05,92.7,6,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0632449835538864,1.218116085510701e-05,98.14,0.1248545050621032,1.2759127457684372e-05,92.85,6,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.0555803254246711,1.4297759662440512e-05,98.2,0.1292278915643692,1.408035859640222e-05,92.93,6,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.9102612137794496,3.990457116742618e-06,78.5,0.8445047736167908,3.4559282084956067e-06,77.8,7,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5223190784454346,2.715203208936145e-06,90.5,0.4594878852367401,2.657659706528648e-06,87.05,7,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1294116675853729,5.487408088811208e-06,96.56,0.1538615673780441,4.600144166033715e-06,91.86,7,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.132665753364563,6.078341357351746e-06,96.74,0.1490096002817154,4.727151917904848e-06,92.0,7,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.1118785515427589,5.953010258963332e-06,97.16,0.1431646645069122,5.083254109194968e-06,92.1,7,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0938214883208274,6.383122581610223e-06,97.34,0.1262102723121643,6.41655242361594e-06,92.37,7,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0680617466568946,7.015501978457905e-06,98.04,0.133204236626625,7.265803560585482e-06,92.54,7,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.063001811504364,8.798054295766633e-06,97.88,0.1323566287755966,7.40920404496137e-06,92.57,7,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0617081001400947,1.0482934158062562e-05,97.76,0.1292436569929123,7.578123131679604e-06,92.58,7,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0526190921664238,8.674623131810222e-06,97.74,0.1393763870000839,9.032932211994192e-06,92.65,7,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.0464934036135673,1.0703524822019972e-05,97.94,0.1401933431625366,1.0276346074533649e-05,92.72,7,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.9029834270477296,3.6877956972602983e-06,79.52,0.8445047736167908,3.455928435869282e-06,77.8,8,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5242048501968384,3.2516420560568804e-06,90.64,0.4649333655834198,2.5995952910307096e-06,87.04,8,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1197678446769714,4.873922534898156e-06,96.88,0.1788945496082306,4.2126034713874105e-06,91.87,8,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.112023539841175,6.286775715125259e-06,97.16,0.1735532730817794,4.351810275693424e-06,91.9,8,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.114488199353218,4.705118954007048e-06,97.0,0.1721342056989669,4.701815214502858e-06,92.09,8,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0720158815383911,7.783084583934397e-06,97.28,0.1671261042356491,5.745124781242339e-06,92.49,8,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0655092149972915,8.054816134972498e-06,97.66,0.1601190268993377,6.581335583177861e-06,92.65,8,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0624576248228549,9.502602551947348e-06,97.62,0.1630830764770507,6.754921741958242e-06,92.7,8,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0588968768715858,9.34007312025642e-06,97.78,0.1595987528562545,7.085636752890423e-06,92.69,8,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0659650936722755,1.0501444194233043e-05,98.22,0.173601821064949,7.840366379241459e-06,92.81,8,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.0486352145671844,9.524899724056011e-06,98.0,0.1706779152154922,9.252600648324004e-06,92.94,8,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.9359076619148254,3.3761982649593847e-06,78.1,0.8445047736167908,3.455928435869282e-06,77.8,9,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5377782583236694,3.0240232717915205e-06,90.62,0.45622119307518,2.58245881923358e-06,87.2,9,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1245114728808403,6.096637662267312e-06,96.86,0.1511922925710678,4.361942046671175e-06,91.86,9,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.1086275205016136,4.568154054140905e-06,96.96,0.1447734534740448,4.717701813206077e-06,91.98,9,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.100547470152378,5.981727099424461e-06,97.3,0.1395189613103866,5.1379802243900485e-06,92.02,9,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0702906250953674,1.009778952720808e-05,97.56,0.1382714211940765,6.891175416967599e-06,92.22,9,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0718455985188484,8.198431714845356e-06,97.76,0.1296539902687072,7.912291039247066e-06,92.48,9,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0630437731742858,1.1091675332863817e-05,97.88,0.1258670687675476,8.084838555078022e-06,92.49,9,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0650638416409492,1.0478775948286057e-05,97.96,0.1277362704277038,8.452412657788955e-06,92.48,9,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0517979152500629,1.1232321412535384e-05,98.2,0.1271194070577621,9.943874829332344e-06,92.67,9,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.060070976614952,1.5195304513326846e-05,98.0,0.1274272203445434,1.1399452887417285e-05,92.75,9,0,LAMP,resnet18,cifar10,0.9
