Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual
10,50556987664.0,0.1987399011850357,1.5449078318852116e-06,94.78,0.2015027105808258,1.313337065766973e-06,90.56,3
20,96379030864.0,0.1866859793663025,9.651034815760795e-07,94.28,0.1890832036733627,1.4303340094556916e-06,90.51,3
30,142201074064.0,0.1733387261629104,1.8164104176321416e-06,94.82,0.1763621419668197,1.5921718841127586e-06,90.48,3
40,188023117264.0,0.1379350572824478,2.508930492695072e-06,94.98,0.1436970680952072,2.431258053547936e-06,90.53,3
50,233845160464.0,0.114272691309452,3.191782070643967e-06,93.82,0.1288882046937942,3.389739731574082e-06,90.72,3
60,279667203664.0,0.1157966330647468,3.692577820402221e-06,95.24,0.1306236237287521,3.476412530289963e-06,90.72,3
70,325489246864.0,0.1050519943237304,3.178172391926637e-06,94.92,0.1300921589136123,3.7254176277201614e-06,90.74,3
80,371311290064.0,0.1088832244277,4.1289363252872135e-06,95.18,0.1180487945675849,4.96771463076584e-06,90.86,3
90,417133333264.0,0.0897836685180664,6.502835276478436e-06,95.38,0.1197063848376274,6.083032985770842e-06,90.97,3
-1,152783392.0,0.5253037214279175,2.0913169009872945e-06,83.44,0.4858401715755462,1.9683664049807703e-06,82.41,4
0,4736285152.0,0.4304420053958893,1.8981299945153296e-06,88.66,0.3927364349365234,1.8621419712872007e-06,86.65,4
10,50571302752.0,0.1856359392404556,9.736447736941043e-07,94.24,0.2089243084192276,1.084250470739789e-06,90.66,4
20,96406320352.0,0.1753331869840622,1.2076004622940673e-06,94.62,0.2023853659629821,1.1073932455474278e-06,90.62,4
30,142241337952.0,0.1685186922550201,1.390790316690982e-06,94.28,0.189815878868103,1.1767031082854371e-06,90.77,4
40,188076355552.0,0.1346456855535507,1.542008135402284e-06,94.34,0.1765968799591064,1.708834020064387e-06,90.71,4
50,233911373152.0,0.1114546135067939,2.78980451184907e-06,94.7,0.1639241576194763,2.471459083608352e-06,90.83,4
60,279746390752.0,0.1151346191763877,2.7518794922798406e-06,94.64,0.1680178195238113,2.560950861152378e-06,90.86,4
