Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
30,428211444628.0,0.0708826854825019,98.94,0.1826675236225128,92.96,15,0.005,LAMP,VGG19,cifar10,0.85
40,566307046228.0,0.065319187939167,99.04,0.1760201156139373,93.12,15,0.005,LAMP,VGG19,cifar10,0.85
50,704402647828.0,0.047203205525875,99.36,0.1512447595596313,93.27,15,0.005,LAMP,VGG19,cifar10,0.85
60,842498249428.0,0.0521417036652565,99.36,0.1645700186491012,93.14,15,0.005,LAMP,VGG19,cifar10,0.85
70,980593851028.0,0.0553636588156223,99.34,0.1756304055452346,93.19,15,0.005,LAMP,VGG19,cifar10,0.85
80,1118689452628.0,0.0499397702515125,99.3,0.1881967484951019,93.18,15,0.005,LAMP,VGG19,cifar10,0.85
90,1256785054228.0,0.0701566040515899,99.46,0.1918136924505233,93.08,15,0.005,LAMP,VGG19,cifar10,0.85
100,1394880655828.0,0.0610741190612316,99.4,0.1942406594753265,93.17,15,0.005,LAMP,VGG19,cifar10,0.85
101,1394880655828.0,0.0567367859184742,99.34,0.1942406445741653,93.17,15,0.005,LAMP,VGG19,cifar10,0.85
-1,115202824.0,1.8576197624206543,47.62,1.886942982673645,47.01,16,0.005,LAMP,VGG19,cifar10,0.85
0,13939541704.0,0.1706486493349075,98.2,0.1791860312223434,92.49,16,0.005,LAMP,VGG19,cifar10,0.85
10,152182930504.0,0.0565983541309833,98.98,0.1355542242527008,93.04,16,0.005,LAMP,VGG19,cifar10,0.85
20,290426319304.0,0.0636099651455879,98.98,0.1190737187862396,93.03,16,0.005,LAMP,VGG19,cifar10,0.85
30,428669708104.0,0.0580355711281299,99.22,0.1609220802783966,92.99,16,0.005,LAMP,VGG19,cifar10,0.85
40,566913096904.0,0.0547164715826511,99.22,0.1507689505815506,93.02,16,0.005,LAMP,VGG19,cifar10,0.85
