Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
0,60311876944.0,0.7331358790397644,78.36,0.6314012408256531,64.95,9,0.005,LAMP,resnet50,cifar100,0.8
10,658446193744.0,0.1917198598384857,89.12,0.3739587664604187,70.6,9,0.005,LAMP,resnet50,cifar100,0.8
20,1256580510544.0,0.1764876693487167,92.04,0.3767843246459961,71.93,9,0.005,LAMP,resnet50,cifar100,0.8
30,1854714827344.0,0.1589992344379425,93.24,0.3719184100627899,72.89,9,0.005,LAMP,resnet50,cifar100,0.8
40,2452849144144.0,0.1239533871412277,95.06,0.3967989981174469,73.35,9,0.005,LAMP,resnet50,cifar100,0.8
50,3050983460944.0,0.1342630386352539,95.68,0.406947374343872,73.39,9,0.005,LAMP,resnet50,cifar100,0.8
60,3649117777744.0,0.1247816234827041,96.42,0.4064323306083679,73.66,9,0.005,LAMP,resnet50,cifar100,0.8
70,4247252094544.0,0.1485467702150344,96.78,0.4927619397640228,73.54,9,0.005,LAMP,resnet50,cifar100,0.8
80,4845386411344.0,0.1415248960256576,97.3,0.4789042472839355,73.93,9,0.005,LAMP,resnet50,cifar100,0.8
90,5443520728144.0,0.1463909149169922,97.78,0.5074793100357056,73.99,9,0.005,LAMP,resnet50,cifar100,0.8
100,6041655044944.0,0.1517398059368133,98.04,0.536937952041626,73.87,9,0.005,LAMP,resnet50,cifar100,0.8
101,6041655044944.0,0.1355312913656234,98.02,0.536937952041626,73.87,9,0.005,LAMP,resnet50,cifar100,0.8
-1,498305344.0,1.633353590965271,55.78,1.530030608177185,50.09,10,0.005,LAMP,resnet50,cifar100,0.8
0,60294946624.0,0.684442937374115,81.68,0.6423029899597168,66.38,10,0.005,LAMP,resnet50,cifar100,0.8
10,658261359424.0,0.1874136179685592,89.16,0.4104459285736084,70.81,10,0.005,LAMP,resnet50,cifar100,0.8
20,1256227772224.0,0.1578989624977111,91.82,0.4422493278980255,72.07,10,0.005,LAMP,resnet50,cifar100,0.8
30,1854194185024.0,0.1418818831443786,93.56,0.4109080731868744,73.06,10,0.005,LAMP,resnet50,cifar100,0.8
40,2452160597824.0,0.1897823810577392,94.08,0.3652030825614929,73.44,10,0.005,LAMP,resnet50,cifar100,0.8
50,3050127010624.0,0.1301567107439041,95.7,0.4441240131855011,73.58,10,0.005,LAMP,resnet50,cifar100,0.8
60,3648093423424.0,0.1388890147209167,96.2,0.4829047620296478,73.7,10,0.005,LAMP,resnet50,cifar100,0.8
70,4246059836224.0,0.111729584634304,96.92,0.466909110546112,74.0,10,0.005,LAMP,resnet50,cifar100,0.8
80,4844026249024.0,0.1520338654518127,97.26,0.5117619633674622,73.97,10,0.005,LAMP,resnet50,cifar100,0.8
90,5441992661824.0,0.1375270038843155,97.28,0.5127004384994507,74.09,10,0.005,LAMP,resnet50,cifar100,0.8
100,6039959074624.0,0.1218486204743385,98.18,0.5052480101585388,74.15,10,0.005,LAMP,resnet50,cifar100,0.8
101,6039959074624.0,0.121159590780735,97.6,0.5052480101585388,74.15,10,0.005,LAMP,resnet50,cifar100,0.8
-1,498479392.0,1.9764337539672847,39.52,1.773941159248352,38.71,11,0.005,LAMP,resnet50,cifar100,0.8
0,60316006432.0,0.7042823433876038,78.24,0.6217415928840637,64.64,11,0.005,LAMP,resnet50,cifar100,0.8
10,658491276832.0,0.2092913538217544,88.84,0.38362917304039,71.02,11,0.005,LAMP,resnet50,cifar100,0.8
20,1256666547232.0,0.1635579615831375,92.16,0.4184747338294983,72.23,11,0.005,LAMP,resnet50,cifar100,0.8
30,1854841817632.0,0.162446990609169,93.1,0.4482437372207641,72.59,11,0.005,LAMP,resnet50,cifar100,0.8
40,2453017088032.0,0.1409937590360641,94.44,0.3929077386856079,73.26,11,0.005,LAMP,resnet50,cifar100,0.8
50,3051192358432.0,0.1585075259208679,95.62,0.4568731188774109,73.27,11,0.005,LAMP,resnet50,cifar100,0.8
60,3649367628832.0,0.1319289058446884,96.32,0.4410025179386139,73.5,11,0.005,LAMP,resnet50,cifar100,0.8
