Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma
-1,176962528.0,1.193495273590088,66.96,1.1684849262237549,67.16,4,0.005
0,21412465888.0,0.3371481001377105,91.16,0.3385592401027679,87.19,4,0.005
10,233767499488.0,0.1133370846509933,95.98,0.1309053301811218,90.4,4,0.005
20,446122533088.0,0.0863288342952728,96.56,0.112197533249855,91.24,4,0.005
30,658477566688.0,0.0766605362296104,98.04,0.1490542441606521,91.51,4,0.005
40,870832600288.0,0.0740023106336593,98.4,0.1363828033208847,92.02,4,0.005
50,1083187633888.0,0.0425510667264461,98.92,0.1510728299617767,92.32,4,0.005
60,1295542667488.0,0.0682255551218986,98.88,0.1834554374217987,92.32,4,0.005
70,1507897701088.0,0.0370206162333488,99.2,0.1899945884943008,92.58,4,0.005
80,1720252734688.0,0.06834177672863,99.22,0.2035088986158371,92.79,4,0.005
90,1932607768288.0,0.0446811094880104,99.44,0.1856703162193298,92.67,4,0.005
100,2144962801888.0,0.0410694181919097,99.48,0.1819435656070709,92.78,4,0.005
101,2144962801888.0,0.0549881905317306,99.28,0.1819434911012649,92.78,4,0.005
-1,177032944.0,1.2746198177337646,63.78,1.2376902103424072,64.08,5,0.005
0,21420986224.0,0.352148562669754,91.28,0.3381967842578888,87.34,5,0.005
10,233860519024.0,0.1026836186647415,95.34,0.1138327717781066,90.41,5,0.005
20,446300051824.0,0.0691053122282028,96.78,0.0890528112649917,91.56,5,0.005
30,658739584624.0,0.0642254650592804,97.64,0.1103221997618675,92.11,5,0.005
40,871179117424.0,0.0750295594334602,98.1,0.1065727621316909,92.46,5,0.005
50,1083618650224.0,0.0692924857139587,98.46,0.1358247250318527,92.62,5,0.005
60,1296058183024.0,0.0533286184072494,98.76,0.0964648127555847,92.84,5,0.005
70,1508497715824.0,0.0776920020580291,98.88,0.1213168948888778,92.85,5,0.005
80,1720937248624.0,0.0552371554076671,99.22,0.1188878864049911,93.0,5,0.005
