Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma
70,1532043624704.0,0.4045136868953705,84.82,0.5523277521133423,81.5,2,0.005
80,1747799093504.0,0.3594860136508941,86.42,0.5430194139480591,82.31,2,0.005
90,1963554562304.0,0.3935895264148712,88.32,0.5786449909210205,83.25,2,0.005
100,2179310031104.0,0.489856094121933,88.98,0.5071601271629333,84.61,2,0.005
101,2179310031104.0,0.4889610111713409,89.34,0.5071600675582886,84.61,2,0.005
-1,179609792.0,0.9256253838539124,26.4,0.9299232959747314,27.0,3,0.005
0,21732784832.0,0.3138208389282226,41.9,0.335731565952301,42.61,3,0.005
10,237264535232.0,0.2951010167598724,57.84,0.341732770204544,57.96,3,0.005
20,452796285632.0,0.2996747493743896,66.42,0.3892438411712646,65.13,3,0.005
30,668328036032.0,0.2823061645030975,71.86,0.3830944895744324,70.6,3,0.005
40,883859786432.0,0.3223457336425781,75.82,0.4552664160728454,73.89,3,0.005
50,1099391536832.0,0.279789537191391,78.68,0.3775452673435211,77.14,3,0.005
60,1314923287232.0,0.4430020749568939,81.02,0.5786231160163879,78.83,3,0.005
70,1530455037632.0,0.3083572089672088,83.24,0.4747858941555023,80.72,3,0.005
80,1745986788032.0,0.241929829120636,85.04,0.3676441311836242,82.26,3,0.005
90,1961518538432.0,0.5564679503440857,85.94,0.3628349900245666,83.28,3,0.005
100,2177050288832.0,0.3688244819641113,87.84,0.4187493324279785,83.95,3,0.005
101,2177050288832.0,0.3621173799037933,87.88,0.4187493324279785,83.95,3,0.005
-1,179577296.0,0.7938424348831177,30.74,0.8486234545707703,31.95,4,0.005
0,21728852816.0,0.2824843525886535,43.52,0.3154668509960174,43.7,4,0.005
10,237221608016.0,0.2221648395061493,58.54,0.249849334359169,58.53,4,0.005
20,452714363216.0,0.2809375524520874,65.92,0.3601115942001343,65.65,4,0.005
30,668207118416.0,0.4805710911750793,70.2,0.381950318813324,70.71,4,0.005
40,883699873616.0,0.1697770804166793,75.42,0.224335640668869,74.48,4,0.005
50,1099192628816.0,0.4442284107208252,78.42,0.4554550349712372,77.24,4,0.005
60,1314685384016.0,0.4375495314598083,80.8,0.414616048336029,79.19,4,0.005
70,1530178139216.0,0.2591231763362884,82.96,0.3602445721626282,80.72,4,0.005
80,1745670894416.0,0.5243303775787354,84.52,0.5654024481773376,81.44,4,0.005
90,1961163649616.0,0.3093485832214355,87.44,0.3418031632900238,83.85,4,0.005
100,2176656404816.0,0.372049331665039,87.98,0.5003551840782166,83.71,4,0.005
101,2176656404816.0,0.3634491264820099,87.94,0.5003551840782166,83.71,4,0.005
-1,179514656.0,1.1779533624649048,22.14,1.1772505044937134,22.37,5,0.005
0,21721273376.0,0.3398374915122986,45.72,0.339083731174469,45.63,5,0.005
10,237138860576.0,0.3675750494003296,59.5,0.4491075873374939,59.9,5,0.005
20,452556447776.0,0.3081372082233429,66.3,0.3739090859889984,66.65,5,0.005
30,667974034976.0,0.3981407880783081,72.66,0.5158871412277222,71.39,5,0.005
40,883391622176.0,0.4840232133865356,76.8,0.5495359301567078,75.59,5,0.005
50,1098809209376.0,0.3114512860774994,80.1,0.3589691817760467,78.41,5,0.005
60,1314226796576.0,0.4567236602306366,82.62,0.5558767318725586,79.68,5,0.005
70,1529644383776.0,0.4227224588394165,84.1,0.4224395453929901,81.66,5,0.005
80,1745061970976.0,0.3573325574398041,85.86,0.3366330564022064,83.7,5,0.005
90,1960479558176.0,0.4584861397743225,87.7,0.3752025067806244,84.64,5,0.005
