Accuracy,Stage,$\sigma$,Pruner,Architecture,Dataset,Pruning rate
0.6864493,Voting,0.003,LAMP,resnet18,cifar100,0.9
0.6866524,Mean,0.003,LAMP,resnet18,cifar100,0.9
0.68331933,Voting,0.005,GMP,resnet18,cifar100,0.9
0.69123006,Mean,0.005,GMP,resnet18,cifar100,0.9
0.67961186,Voting,0.005,LAMP,resnet18,cifar100,0.9
0.67994,Mean,0.005,LAMP,resnet18,cifar100,0.9
0.7191407,Voting,0.001,GMP,resnet50,cifar100,0.9
0.72251946,Mean,0.001,GMP,resnet50,cifar100,0.9
0.6938115,Voting,0.001,LAMP,resnet50,cifar100,0.9
0.6943357,Mean,0.001,LAMP,resnet50,cifar100,0.9
0.7213277,Voting,0.003,GMP,resnet50,cifar100,0.9
0.7197675,Mean,0.003,GMP,resnet50,cifar100,0.9
0.6860163,Voting,0.003,LAMP,resnet50,cifar100,0.9
0.6861872,Mean,0.003,LAMP,resnet50,cifar100,0.9
0.71792686,Voting,0.005,GMP,resnet50,cifar100,0.9
0.7214174,Mean,0.005,GMP,resnet50,cifar100,0.9
0.6627632,Voting,0.005,LAMP,resnet50,cifar100,0.9
0.6627733,Mean,0.005,LAMP,resnet50,cifar100,0.9
0.6524143,Voting,0.001,GMP,VGG19,cifar100,0.9
0.6546627,Mean,0.001,GMP,VGG19,cifar100,0.9
0.7093966,Voting,0.001,LAMP,VGG19,cifar100,0.9
0.7097707,Mean,0.001,LAMP,VGG19,cifar100,0.9
0.67793477,Voting,0.003,GMP,VGG19,cifar100,0.9
0.6755722,Mean,0.003,GMP,VGG19,cifar100,0.9
0.7026704,Voting,0.003,LAMP,VGG19,cifar100,0.9
0.703168,Mean,0.003,LAMP,VGG19,cifar100,0.9
0.6880691,Voting,0.005,GMP,VGG19,cifar100,0.9
0.6865995,Mean,0.005,GMP,VGG19,cifar100,0.9
0.69595873,Voting,0.005,LAMP,VGG19,cifar100,0.9
0.6963431,Mean,0.005,LAMP,VGG19,cifar100,0.9
0.5709839,Voting,0.001,GMP,resnet18,cifar100,0.95
0.5740184,Mean,0.001,GMP,resnet18,cifar100,0.95
0.6067812,Voting,0.001,LAMP,resnet18,cifar100,0.95
0.6073159,Mean,0.001,LAMP,resnet18,cifar100,0.95
0.5842986,Voting,0.003,GMP,resnet18,cifar100,0.95
0.5893141,Mean,0.003,GMP,resnet18,cifar100,0.95
0.61160594,Voting,0.003,LAMP,resnet18,cifar100,0.95
0.6119233,Mean,0.003,LAMP,resnet18,cifar100,0.95
0.5789423,Voting,0.005,GMP,resnet18,cifar100,0.95
0.58698535,Mean,0.005,GMP,resnet18,cifar100,0.95
0.59521335,Voting,0.005,LAMP,resnet18,cifar100,0.95
0.59530735,Mean,0.005,LAMP,resnet18,cifar100,0.95
0.5369635,Voting,0.001,GMP,resnet50,cifar100,0.95
0.53565913,Mean,0.001,GMP,resnet50,cifar100,0.95
0.4156165,Voting,0.001,LAMP,resnet50,cifar100,0.95
0.41571367,Mean,0.001,LAMP,resnet50,cifar100,0.95
0.5262153,Voting,0.003,GMP,resnet50,cifar100,0.95
0.5259804,Mean,0.003,GMP,resnet50,cifar100,0.95
0.3735734,Voting,0.003,LAMP,resnet50,cifar100,0.95
0.373536,Mean,0.003,LAMP,resnet50,cifar100,0.95
0.47053787,Voting,0.005,GMP,resnet50,cifar100,0.95
0.47226351,Mean,0.005,GMP,resnet50,cifar100,0.95
0.29079434,Voting,0.005,LAMP,resnet50,cifar100,0.95
0.29075414,Mean,0.005,LAMP,resnet50,cifar100,0.95
