Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma
10,55793608912.0,0.1922422051429748,5.33857019036077e-07,67.68,0.1934790909290313,4.664669006615441e-07,68.9,3,0.011
20,106361834512.0,0.1850350201129913,5.615565896732733e-07,69.3,0.1931831240653991,5.272718794913089e-07,69.37,3,0.011
30,156930060112.0,0.1885648369789123,6.080756520532304e-07,69.98,0.2000118941068649,6.174588520480029e-07,69.69,3,0.011
40,207498285712.0,0.2025228887796402,1.6696176317054778e-06,70.14,0.2281064838171005,1.6197099057535524e-06,69.47,3,0.011
50,258066511312.0,0.1961374282836914,1.8266890720042284e-06,71.26,0.2332900613546371,3.152969384245808e-06,69.92,3,0.011
60,308634736912.0,0.1936642229557037,2.939555542980088e-06,71.6,0.2320873290300369,3.4486652111809235e-06,70.11,3,0.011
70,359202962512.0,0.1947448849678039,2.995581553477677e-06,71.72,0.2306710034608841,3.987077889178181e-06,70.45,3,0.011
80,409771188112.0,0.1774632036685943,4.777014510182198e-06,71.92,0.228776752948761,6.217817372089485e-06,71.3,3,0.011
90,460339413712.0,0.1682769656181335,6.099126039771363e-06,73.54,0.2231946438550949,8.18063836049987e-06,72.17,3,0.011
-1,168544816.0,0.8395319581031799,4.20397014977425e-07,10.36,0.8245590925216675,5.46666285572428e-07,10.53,4,0.011
0,5224889296.0,0.6990514993667603,5.245972261036513e-07,11.44,0.6846837401390076,5.487805765369558e-07,11.64,4,0.011
10,55788334096.0,0.1815695911645889,3.772373133870133e-07,67.26,0.1999555826187133,5.33581328454602e-07,67.22,4,0.011
20,106351778896.0,0.1852993816137313,5.392168986873003e-07,67.12,0.2018711864948272,5.591917329184071e-07,68.2,4,0.011
30,156915223696.0,0.1877308040857315,7.1739873419574e-07,69.48,0.2050156891345977,6.411524964278215e-07,69.08,4,0.011
