Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma
50,132098378896.0,0.1917412877082824,5.293566118780291e-06,72.16,0.2117607146501541,4.900047770206584e-06,72.36,1,0.011
60,157983103696.0,0.179691806435585,6.226964160305215e-06,72.26,0.2123701721429824,5.285498446028214e-06,72.77,1,0.011
70,183867828496.0,0.1762456148862838,6.161785222502658e-06,71.36,0.2061077952384948,6.106599812483182e-06,73.04,1,0.011
80,209752553296.0,0.1592667698860168,8.789620551397093e-06,74.16,0.2070367634296417,8.819049980957061e-06,74.18,1,0.011
90,235637278096.0,0.1389408856630325,1.2024492207274308e-05,74.74,0.1943709403276443,1.1813339369837196e-05,75.11,1,0.011
-1,86054896.0,0.6140536069869995,1.2545910976768937e-06,23.66,0.64044588804245,1.0987312180077424e-06,24.1,2,0.011
0,2667701776.0,0.5181888341903687,1.4991242096584756e-06,27.12,0.5411351919174194,9.989325917558745e-07,28.05,2,0.011
10,28484170576.0,0.2225157171487808,7.13530539542262e-07,63.04,0.2358448654413223,6.724282570758078e-07,63.65,2,0.011
20,54300639376.0,0.2172474116086959,8.592820108788146e-07,64.76,0.2376226335763931,6.974251505198481e-07,64.84,2,0.011
30,80117108176.0,0.2251959294080734,8.61567173160438e-07,66.62,0.2421033382415771,7.243725690386782e-07,66.7,2,0.011
40,105933576976.0,0.2171373516321182,2.0858367406617617e-06,70.48,0.2502386271953583,1.3197945918363985e-06,69.72,2,0.011
50,131750045776.0,0.2045328319072723,2.423882506263908e-06,71.78,0.2383249998092651,2.314468474651221e-06,71.57,2,0.011
60,157566514576.0,0.1966202110052108,2.701854327824549e-06,72.22,0.2361638396978378,2.540362629588344e-06,71.8,2,0.011
70,183382983376.0,0.1880689412355423,3.200585979357129e-06,73.08,0.2323028296232223,3.004919562954456e-06,72.04,2,0.011
80,209199452176.0,0.1658845990896225,4.410256224218756e-06,74.62,0.2179565280675888,4.626685495168204e-06,72.8,2,0.011
90,235015920976.0,0.1497183293104171,5.983479695714777e-06,75.08,0.2214746475219726,5.959389454801567e-06,73.84,2,0.011
-1,85950880.0,0.5546862483024597,1.3510922372006462e-06,25.5,0.5521087646484375,1.6414048786828062e-06,27.28,3,0.011
0,2664477280.0,0.4667550325393677,1.2541912610686268e-06,32.0,0.475234717130661,1.641793687667814e-06,33.58,3,0.011
10,28449741280.0,0.2168617099523544,9.463322498959316e-07,66.16,0.2244272977113723,1.4264577430367351e-06,67.51,3,0.011
20,54235005280.0,0.215479165315628,1.168074504676042e-06,67.34,0.2214174419641494,1.4150225524645066e-06,68.44,3,0.011
30,80020269280.0,0.2044936567544937,1.2407299436745234e-06,68.38,0.2191682904958725,1.537665070827643e-06,69.47,3,0.011
40,105805533280.0,0.1965399533510208,2.0506638520600973e-06,71.22,0.2229073643684387,2.3629083898413228e-06,71.5,3,0.011
50,131590797280.0,0.1858100146055221,2.6321249606553465e-06,71.8,0.2238114774227142,3.749888264792389e-06,72.42,3,0.011
60,157376061280.0,0.1822179108858108,3.135621000183164e-06,71.98,0.2200919687747955,3.988505341112614e-06,72.65,3,0.011
70,183161325280.0,0.1797317415475845,3.419467020648881e-06,72.98,0.2252823710441589,4.43085491497186e-06,72.87,3,0.011
80,208946589280.0,0.1570320278406143,5.41493409400573e-06,72.86,0.2284580171108245,6.381327239068924e-06,73.8,3,0.011
90,234731853280.0,0.1450047194957733,6.545060841744999e-06,74.16,0.2443148493766784,8.530218110536225e-06,74.68,3,0.011
-1,85934464.0,0.6614794731140137,5.830818281538086e-07,13.82,0.6274703741073608,7.008127909102768e-07,14.4,4,0.011
0,2663968384.0,0.5336969494819641,5.656079338223208e-07,20.84,0.5026375651359558,6.825591185588564e-07,21.17,4,0.011
10,28444307584.0,0.2046604305505752,1.003437660074269e-06,61.92,0.2195207476615905,1.110358425648883e-06,63.13,4,0.011
20,54224646784.0,0.2100774645805359,1.172765223600436e-06,62.56,0.2234238684177398,1.279842877011106e-06,63.83,4,0.011
30,80004985984.0,0.2181823104619979,1.007235596262035e-06,64.68,0.2263512909412384,1.5345125348176223e-06,65.1,4,0.011
