Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
80,1252253776240.0,0.3151733875274658,91.26,0.7977070808410645,70.24,9,0.003,resnet50,GMP,cifar100,0.9
90,1406837104240.0,0.2768981456756592,91.86,0.7884862422943115,70.22,9,0.003,resnet50,GMP,cifar100,0.9
100,1561420432240.0,0.2996854782104492,92.48,0.7978072762489319,70.64,9,0.003,resnet50,GMP,cifar100,0.9
101,1561420432240.0,0.3010558187961578,92.86,0.7978072762489319,70.64,9,0.003,resnet50,GMP,cifar100,0.9
-1,128912128.0,2.188326358795166,5.92,2.2252588272094727,6.24,10,0.003,resnet50,GMP,cifar100,0.9
0,15598367488.0,1.2004292011260986,36.68,1.170528531074524,34.86,10,0.003,resnet50,GMP,cifar100,0.9
10,170292921088.0,0.3618468046188354,68.98,0.5599936246871948,59.84,10,0.003,resnet50,GMP,cifar100,0.9
20,324987474688.0,0.2947059571743011,76.1,0.5576525926589966,64.56,10,0.003,resnet50,GMP,cifar100,0.9
30,479682028288.0,0.3175386190414428,80.96,0.5915483832359314,66.66,10,0.003,resnet50,GMP,cifar100,0.9
40,634376581888.0,0.3387007415294647,84.46,0.706463634967804,67.89,10,0.003,resnet50,GMP,cifar100,0.9
50,789071135488.0,0.2573851346969604,86.22,0.6967425346374512,68.49,10,0.003,resnet50,GMP,cifar100,0.9
60,943765689088.0,0.2575507760047912,88.16,0.6857662200927734,69.4,10,0.003,resnet50,GMP,cifar100,0.9
70,1098460242688.0,0.2682774662971496,89.34,0.7310307621955872,69.53,10,0.003,resnet50,GMP,cifar100,0.9
80,1253154796288.0,0.300268143415451,90.62,0.7426919341087341,69.87,10,0.003,resnet50,GMP,cifar100,0.9
90,1407849349888.0,0.2733334004878998,92.02,0.76682049036026,70.34,10,0.003,resnet50,GMP,cifar100,0.9
100,1562543903488.0,0.3146954476833343,92.62,0.8477217555046082,70.5,10,0.003,resnet50,GMP,cifar100,0.9
101,1562543903488.0,0.3031727373600006,92.48,0.8477217555046082,70.5,10,0.003,resnet50,GMP,cifar100,0.9
-1,128856160.0,2.2359871864318848,6.38,2.2833824157714844,6.04,11,0.003,resnet50,GMP,cifar100,0.9
0,15591595360.0,1.1895761489868164,35.02,1.1329593658447266,34.47,11,0.003,resnet50,GMP,cifar100,0.9
10,170218987360.0,0.3692507445812225,69.38,0.5223098993301392,59.78,11,0.003,resnet50,GMP,cifar100,0.9
20,324846379360.0,0.2781049609184265,77.9,0.5532354116439819,64.79,11,0.003,resnet50,GMP,cifar100,0.9
30,479473771360.0,0.3037373125553131,81.48,0.5588428378105164,66.85,11,0.003,resnet50,GMP,cifar100,0.9
40,634101163360.0,0.2400757372379303,84.92,0.5606825351715088,68.23,11,0.003,resnet50,GMP,cifar100,0.9
50,788728555360.0,0.316951036453247,86.44,0.6664250493049622,68.98,11,0.003,resnet50,GMP,cifar100,0.9
60,943355947360.0,0.2755029499530792,88.2,0.6313242316246033,69.56,11,0.003,resnet50,GMP,cifar100,0.9
