Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
90,1484960958264.0,0.0309731997549533,99.88,0.1625760346651077,93.4,9,0.003,VGG19,GMP,cifar10,0.9
100,1648128539064.0,0.0356218926608562,99.82,0.1812294125556945,93.38,9,0.003,VGG19,GMP,cifar10,0.9
101,1648128539064.0,0.0414664782583713,99.76,0.1812294274568557,93.38,9,0.003,VGG19,GMP,cifar10,0.9
-1,135989244.0,2.304184913635254,33.3,2.3385989665985107,30.93,10,0.003,VGG19,GMP,cifar10,0.9
0,16454698524.0,0.2158248871564865,99.34,0.2155334800481796,92.93,10,0.003,VGG19,GMP,cifar10,0.9
10,179641791324.0,0.0474364459514617,99.44,0.1504857391119003,93.39,10,0.003,VGG19,GMP,cifar10,0.9
20,342828884124.0,0.0382588542997837,99.62,0.1558185070753097,93.3,10,0.003,VGG19,GMP,cifar10,0.9
30,506015976924.0,0.0327355489134788,99.54,0.1509512513875961,93.33,10,0.003,VGG19,GMP,cifar10,0.9
40,669203069724.0,0.0394852720201015,99.52,0.1613028645515442,93.38,10,0.003,VGG19,GMP,cifar10,0.9
50,832390162524.0,0.0365825369954109,99.6,0.1845122724771499,93.31,10,0.003,VGG19,GMP,cifar10,0.9
60,995577255324.0,0.0355775728821754,99.6,0.1657893359661102,93.33,10,0.003,VGG19,GMP,cifar10,0.9
70,1158764348124.0,0.0434278100728988,99.72,0.1802384406328201,93.35,10,0.003,VGG19,GMP,cifar10,0.9
80,1321951440924.0,0.0354107581079006,99.74,0.1650115251541137,93.41,10,0.003,VGG19,GMP,cifar10,0.9
90,1485138533724.0,0.0328752808272838,99.86,0.1865769922733307,93.35,10,0.003,VGG19,GMP,cifar10,0.9
100,1648325626524.0,0.031771894544363,99.78,0.1778289526700973,93.38,10,0.003,VGG19,GMP,cifar10,0.9
101,1648325626524.0,0.0275374054908752,99.78,0.1778289526700973,93.38,10,0.003,VGG19,GMP,cifar10,0.9
-1,135935796.0,2.045870065689087,35.08,2.0505619049072266,32.78,11,0.003,VGG19,GMP,cifar10,0.9
0,16448231316.0,0.2092856466770172,99.42,0.210782989859581,92.95,11,0.003,VGG19,GMP,cifar10,0.9
10,179571186516.0,0.0604897774755954,99.48,0.1510821431875229,93.38,11,0.003,VGG19,GMP,cifar10,0.9
20,342694141716.0,0.0434685349464416,99.52,0.1477605253458023,93.57,11,0.003,VGG19,GMP,cifar10,0.9
30,505817096916.0,0.0395266003906726,99.54,0.1675360947847366,93.5,11,0.003,VGG19,GMP,cifar10,0.9
40,668940052116.0,0.0388029254972934,99.64,0.1513345092535019,93.52,11,0.003,VGG19,GMP,cifar10,0.9
50,832063007316.0,0.0290962345898151,99.64,0.1645187139511108,93.53,11,0.003,VGG19,GMP,cifar10,0.9
60,995185962516.0,0.0272880010306835,99.64,0.1513232141733169,93.51,11,0.003,VGG19,GMP,cifar10,0.9
70,1158308917716.0,0.0343060865998268,99.64,0.1590363383293151,93.62,11,0.003,VGG19,GMP,cifar10,0.9
80,1321431872916.0,0.0308666508644819,99.68,0.1694691479206085,93.57,11,0.003,VGG19,GMP,cifar10,0.9
90,1484554828116.0,0.0347980596125125,99.72,0.1693462133407592,93.62,11,0.003,VGG19,GMP,cifar10,0.9
100,1647677783316.0,0.0365728586912155,99.86,0.1520492881536483,93.55,11,0.003,VGG19,GMP,cifar10,0.9
101,1647677783316.0,0.0359983779489994,99.76,0.1520492732524871,93.55,11,0.003,VGG19,GMP,cifar10,0.9
-1,136039104.0,2.309774398803711,32.16,2.35078763961792,29.83,12,0.003,VGG19,GMP,cifar10,0.9
0,16460731584.0,0.218019813299179,99.26,0.2246744036674499,92.75,12,0.003,VGG19,GMP,cifar10,0.9
10,179707656384.0,0.0543379634618759,99.46,0.1182589158415794,93.26,12,0.003,VGG19,GMP,cifar10,0.9
20,342954581184.0,0.0407137311995029,99.6,0.1752371340990066,93.32,12,0.003,VGG19,GMP,cifar10,0.9
30,506201505984.0,0.0337574444711208,99.44,0.1675642132759094,93.32,12,0.003,VGG19,GMP,cifar10,0.9
40,669448430784.0,0.0358482487499713,99.66,0.1557174772024154,93.32,12,0.003,VGG19,GMP,cifar10,0.9
50,832695355584.0,0.0452554896473884,99.62,0.1835716962814331,93.47,12,0.003,VGG19,GMP,cifar10,0.9
60,995942280384.0,0.0503183975815773,99.7,0.199737012386322,93.35,12,0.003,VGG19,GMP,cifar10,0.9
