Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
50,201548654224.0,0.2860119938850403,2.211602350143949e-06,88.14,0.2736173570156097,1.883707341221452e-06,85.0,1,0.001,resnet18,GMP,cifar10,0.9
60,241042185424.0,0.2864570617675781,2.630929429869866e-06,87.94,0.2725459337234497,2.2472145246865693e-06,84.76,1,0.001,resnet18,GMP,cifar10,0.9
70,280535716624.0,0.2785366177558899,3.003974825332989e-06,87.44,0.2704971432685852,3.0085759590292582e-06,84.62,1,0.001,resnet18,GMP,cifar10,0.9
80,320029247824.0,0.2651394307613373,7.799941158737056e-06,86.42,0.2660518288612366,8.279580470116343e-06,84.14,1,0.001,resnet18,GMP,cifar10,0.9
90,359522779024.0,0.2299665063619613,1.7230335288331844e-05,86.56,0.2313009351491928,1.6557714843656868e-05,84.42,1,0.001,resnet18,GMP,cifar10,0.9
-1,131736016.0,0.5856894850730896,2.471476250320848e-07,32.38,0.5583146214485168,2.610986200579646e-07,33.11,2,0.001,resnet18,GMP,cifar10,0.9
0,4083816496.0,0.5773524045944214,1.818617931803601e-07,32.88,0.5513234734535217,2.612762273201952e-07,33.76,2,0.001,resnet18,GMP,cifar10,0.9
10,43604621296.0,0.4621609449386596,2.4925699904088106e-07,55.46,0.4422193169593811,3.258878678025212e-07,56.08,2,0.001,resnet18,GMP,cifar10,0.9
20,83125426096.0,0.4438228011131286,2.742416427281569e-07,61.1,0.4234000742435455,3.4641678325897374e-07,61.26,2,0.001,resnet18,GMP,cifar10,0.9
30,122646230896.0,0.410176545381546,2.568381773926376e-07,69.76,0.3915585577487945,3.804209143254411e-07,69.54,2,0.001,resnet18,GMP,cifar10,0.9
40,162167035696.0,0.310295820236206,4.621677476279729e-07,85.62,0.3025175631046295,7.154741297199507e-07,83.46,2,0.001,resnet18,GMP,cifar10,0.9
50,201687840496.0,0.2860819399356842,1.7974829233935452e-06,87.82,0.2934098243713379,1.996787432290148e-06,84.69,2,0.001,resnet18,GMP,cifar10,0.9
60,241208645296.0,0.2826248407363891,1.855471850831236e-06,87.74,0.2941589653491974,2.431430630167597e-06,84.66,2,0.001,resnet18,GMP,cifar10,0.9
70,280729450096.0,0.2787417471408844,2.628937409099308e-06,87.9,0.2947529256343841,3.451460315773147e-06,84.21,2,0.001,resnet18,GMP,cifar10,0.9
80,320250254896.0,0.2577027380466461,6.741786819475237e-06,86.44,0.2861496806144714,1.0441192898724694e-05,83.53,2,0.001,resnet18,GMP,cifar10,0.9
90,359771059696.0,0.2142773121595382,1.736408557917457e-05,86.5,0.2525321841239929,2.075119300570805e-05,83.89,2,0.001,resnet18,GMP,cifar10,0.9
-1,131743264.0,0.5857846736907959,2.700209336126136e-07,32.08,0.5584567785263062,3.166725264236448e-07,33.38,3,0.001,resnet18,GMP,cifar10,0.9
0,4084041184.0,0.5770036578178406,2.807534826843039e-07,33.26,0.5502470135688782,3.106039514477743e-07,34.22,3,0.001,resnet18,GMP,cifar10,0.9
10,43607020384.0,0.4558825492858886,2.756135017989436e-07,55.7,0.4383197128772735,3.485524757707026e-07,55.77,3,0.001,resnet18,GMP,cifar10,0.9
20,83129999584.0,0.436875581741333,3.056351545183134e-07,60.86,0.4203633368015289,3.66296291076651e-07,60.38,3,0.001,resnet18,GMP,cifar10,0.9
