;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
24;24;87.86;0.171875;0.484375;0.546875;0.6953125;0.6328125;0.67578125;0.66015625;0.5546875;0.416015625;0.314453125;0.2109375;0.15234375;0.12890625;0.119140625;0.11328125;0.11328125;0.8;0.171875;0.515625;0.5390625;0.6796875;0.625;0.67578125;0.671875;0.578125;0.41796875;0.318359375;0.205078125;0.142578125;0.125;0.1171875;0.111328125;0.111328125;0.8
25;25;88.27;0.15625;0.484375;0.5546875;0.6953125;0.6328125;0.67578125;0.6640625;0.5546875;0.400390625;0.3046875;0.2109375;0.15625;0.12890625;0.12109375;0.11328125;0.11328125;0.8;0.171875;0.515625;0.546875;0.6796875;0.62890625;0.67578125;0.671875;0.57421875;0.3984375;0.306640625;0.197265625;0.142578125;0.125;0.1171875;0.109375;0.109375;0.8
26;26;88.0;0.15625;0.484375;0.5546875;0.6953125;0.6328125;0.67578125;0.66796875;0.5546875;0.421875;0.318359375;0.208984375;0.1484375;0.12890625;0.119140625;0.111328125;0.11328125;0.8;0.171875;0.515625;0.546875;0.6875;0.62890625;0.6796875;0.671875;0.578125;0.4140625;0.30859375;0.1953125;0.140625;0.123046875;0.115234375;0.107421875;0.109375;0.8
27;27;88.58;0.171875;0.484375;0.546875;0.703125;0.63671875;0.6796875;0.6640625;0.54296875;0.4140625;0.310546875;0.20703125;0.15234375;0.130859375;0.12109375;0.11328125;0.11328125;0.8;0.171875;0.515625;0.5390625;0.6875;0.6328125;0.6796875;0.67578125;0.58203125;0.419921875;0.32421875;0.201171875;0.140625;0.125;0.115234375;0.109375;0.109375;0.8
28;28;88.36;0.171875;0.484375;0.546875;0.703125;0.6328125;0.6796875;0.66796875;0.546875;0.39453125;0.27734375;0.1796875;0.138671875;0.125;0.119140625;0.111328125;0.111328125;0.8;0.171875;0.515625;0.5390625;0.6875;0.62890625;0.6796875;0.6796875;0.578125;0.423828125;0.314453125;0.1953125;0.140625;0.125;0.115234375;0.107421875;0.109375;0.8
29;29;88.96;0.171875;0.484375;0.5546875;0.7109375;0.64453125;0.68359375;0.671875;0.546875;0.40234375;0.2890625;0.19140625;0.146484375;0.12890625;0.12109375;0.111328125;0.11328125;0.8;0.171875;0.515625;0.546875;0.6875;0.63671875;0.68359375;0.68359375;0.58203125;0.41015625;0.296875;0.1796875;0.13671875;0.123046875;0.1171875;0.109375;0.111328125;0.8
30;30;88.42;0.15625;0.484375;0.546875;0.703125;0.640625;0.68359375;0.6640625;0.5390625;0.40625;0.294921875;0.1953125;0.146484375;0.12890625;0.12109375;0.111328125;0.11328125;0.8;0.171875;0.515625;0.5390625;0.6953125;0.63671875;0.6875;0.6796875;0.57421875;0.3984375;0.283203125;0.177734375;0.13671875;0.123046875;0.115234375;0.107421875;0.107421875;0.8
31;31;89.41;0.15625;0.5;0.546875;0.7109375;0.64453125;0.68359375;0.671875;0.54296875;0.38671875;0.271484375;0.181640625;0.14453125;0.12890625;0.12109375;0.111328125;0.111328125;0.8;0.171875;0.515625;0.5390625;0.703125;0.640625;0.6875;0.68359375;0.5703125;0.396484375;0.283203125;0.177734375;0.138671875;0.125;0.1171875;0.107421875;0.109375;0.8
32;32;89.34;0.171875;0.484375;0.546875;0.71875;0.64453125;0.68359375;0.66796875;0.53515625;0.38671875;0.279296875;0.18359375;0.14453125;0.12890625;0.12109375;0.111328125;0.111328125;0.8;0.171875;0.515625;0.546875;0.703125;0.64453125;0.6875;0.68359375;0.57421875;0.404296875;0.279296875;0.173828125;0.13671875;0.125;0.1171875;0.109375;0.109375;0.8
33;33;89.76;0.15625;0.484375;0.546875;0.7109375;0.6484375;0.6953125;0.6796875;0.5390625;0.40625;0.29296875;0.197265625;0.1484375;0.12890625;0.12109375;0.111328125;0.11328125;0.8;0.171875;0.515625;0.546875;0.6953125;0.640625;0.6953125;0.6875;0.578125;0.3984375;0.27734375;0.171875;0.13671875;0.123046875;0.1171875;0.107421875;0.111328125;0.8
